rank,idx,name,iou,precision,recall,f1,tp,fp,fn
1,45,26278720_15.tiff,0.119764,0.821658,0.122960,0.213909,2170,471,15478
2,34,23729020_15.tiff,0.444742,0.723305,0.535919,0.615669,60814,23264,52662
3,1,10828720_15.tiff,0.470264,0.615779,0.665555,0.639700,37331,23293,18759
4,19,20278885_15.tiff,0.472227,0.544313,0.780978,0.641514,5288,4427,1483
5,47,26578720_15.tiff,0.543358,0.748322,0.664856,0.704124,16279,5475,8206
6,41,24628885_15.tiff,0.551280,0.721529,0.700273,0.710741,66556,25687,28487
7,27,22528885_15.tiff,0.561533,0.746510,0.693831,0.719207,31178,10587,13758
8,22,21479035_15.tiff,0.562190,0.773618,0.672888,0.719745,14961,4378,7273
9,6,15928855_15.tiff,0.573482,0.686589,0.776846,0.728934,8616,3933,2475
10,36,24029035_15.tiff,0.581354,0.712790,0.759196,0.735261,55892,22521,17728
11,23,21779005_15.tiff,0.594640,0.776077,0.717794,0.745798,16019,4622,6298
12,25,22228900_15.tiff,0.607613,0.759005,0.752859,0.755919,19618,6229,6440
13,30,23278930_15.tiff,0.615819,0.731228,0.795993,0.762237,103928,38200,26636
14,0,10378780_15.tiff,0.616317,0.833496,0.702852,0.762619,18757,3747,7930
15,24,22078975_15.tiff,0.624711,0.741010,0.799213,0.769011,84261,29450,21169
16,10,17878885_15.tiff,0.625565,0.733718,0.809303,0.769658,48126,17466,11340
17,2,11128870_15.tiff,0.630215,0.746728,0.801549,0.773167,51752,17553,12813
18,4,11728825_15.tiff,0.631572,0.815260,0.737056,0.774188,13623,3087,4860
19,31,23428540_15.tiff,0.634489,0.857920,0.708988,0.776376,10247,1697,4206
20,38,24478855_15.tiff,0.639170,0.781014,0.778730,0.779870,64172,17993,18234
21,37,24478825_15.tiff,0.648960,0.773186,0.801553,0.787114,73496,21560,18196
22,5,12328750_15.tiff,0.649544,0.801920,0.773674,0.787543,36177,8936,10583
23,40,24479215_15.tiff,0.655363,0.806654,0.777495,0.791805,48567,11641,13899
24,26,22229050_15.tiff,0.667403,0.777572,0.824885,0.800530,41985,12010,8913
25,44,25079170_15.tiff,0.668994,0.729609,0.889533,0.801673,40335,14948,5009
26,48,26878690_15.tiff,0.670473,0.837261,0.770942,0.802734,12507,2431,3716
27,8,17878735_15.tiff,0.671836,0.853699,0.759252,0.803710,7755,1329,2459
28,3,11278840_15.tiff,0.678273,0.812447,0.804193,0.808298,61984,14309,15092
29,42,24629200_15.tiff,0.680788,0.774864,0.848654,0.810081,63879,18560,11392
30,43,24779275_15.tiff,0.686306,0.808630,0.819392,0.813975,10775,2550,2375
31,29,23278915_15.tiff,0.691292,0.792402,0.844181,0.817472,91543,23983,16897
32,15,18328960_15.tiff,0.693355,0.813431,0.824469,0.818912,50305,11538,10710
33,39,24479170_15.tiff,0.693420,0.823303,0.814659,0.818958,55242,11856,12568
34,35,23878540_15.tiff,0.702343,0.799786,0.852171,0.825148,35948,8999,6236
35,11,18028750_15.tiff,0.703474,0.806328,0.846506,0.825928,9072,2179,1645
36,33,23429080_15.tiff,0.711599,0.846119,0.817381,0.831502,125240,22777,27981
37,46,26428735_15.tiff,0.712112,0.803268,0.862545,0.831851,27234,6670,4340
38,28,22529065_15.tiff,0.713405,0.806547,0.860677,0.832733,81550,19560,13201
39,9,17878780_15.tiff,0.716425,0.862385,0.808901,0.834787,14595,2329,3448
40,16,18478735_15.tiff,0.738853,0.774991,0.940636,0.849816,20979,6091,1324
41,14,18328780_15.tiff,0.743732,0.893516,0.816063,0.853034,18452,2199,4159
42,21,20878930_15.tiff,0.750092,0.850950,0.863549,0.857203,62875,11013,9935
43,17,18478900_15.tiff,0.750973,0.860759,0.854817,0.857778,8296,1342,1409
44,18,18478930_15.tiff,0.769532,0.858924,0.880868,0.869757,47751,7843,6458
45,12,18178780_15.tiff,0.775079,0.885259,0.861640,0.873289,49023,6354,7872
46,32,23428810_15.tiff,0.776538,0.860492,0.888384,0.874215,6057,982,761
47,20,20728960_15.tiff,0.779123,0.838958,0.916136,0.875850,66495,12764,6087
48,7,16078870_15.tiff,0.794657,0.841549,0.934475,0.885581,6931,1305,486
49,13,18328735_15.tiff,0.796171,0.867911,0.905946,0.886520,27991,4260,2906
